,text
341,"Two optimisations.\r\n\r\nOne: to check that if contentLength is given but only if > 0 then we need to materialize things\r\nTwo: To avoid copying all headers into strings all the time but only when really we have to.\r\nThe special cased ContentLength, ContentType and uri help a bit too.\r\n\r\nI got a few failures locally but did not think they're related, so want to check on travis too while I look into those. \tSpecialized Headers impl backed by Akka Http >>> 0"
342,"With regards to https://github.com/playframework/playframework/issues/7154 there isn't an explicit warning that default filters may impact sites that are upgrading.\r\n\r\nI'll make the logs more explicit as well, so a security failure results in a log with SECURITY marker. Add a note about default filters potentially blocking  >>> 1"
343,On top of the `hasBody` change this removes unncessary scheduling of\r\nfuture combinator code. It should bring an additional 5-10% increase of\r\nthroughput in the request-without-body case. Optimize DoneAccumulator to bypass dispatcher in the happy strict case >>> 1
344,"It looks like Logback has some internal state that causes NPE on the build server. \n\nStill not sure what is causing this, but we can at least flag it as a known problem. Add exception to track down Logback error >>> 1"
345,"# Pull Request Checklist\r\n\r\n* [x] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [x] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [x] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [x] Have you added copyright headers to new files?\r\n* [x] Have you checked that both Scala and Java APIs are updated?\r\n* [x] Have you updated the documentation for both Scala and Java sections?\r\n* [x] Have you added tests for any changed functionality?\r\n\r\n# Helpful things\r\n\r\n\r\nThis PR resolved #7016.\r\n@richdougherty please take a look. \r\nI will be happy if you can suggest what can be improved since I've just started to learn Scala. (btw, thanks for the handy `newbie` label) allows to attach single attribute to the request >>> 1"
346,"The goal is to make it easier to use JDBC in Play's highly concurrent setting. Unlike a traditional servlet environment we don't have a thread-per-request, so the JDBC blocking API is easy to misuse.\r\n\r\nThis is a WIP for early review. I have a lot of changes planned which I will add as extra comments. I would welcome extra feedback before I start making these changes and polishing the code up more. WIP: Make JDBC work better with thread pools >>> 0"
347,## Fixes\r\n\r\nFixes #5722\r\n\r\n## Purpose\r\n\r\nThis adds some missing conversions between Java and Scala types. This issue is also one of the steps to have Java components. More consistent asJava and asScala methods >>> 1
348,nan Add to nightly snapshots documentation >>> 1
349,Fixes #7051 Add Helpers.httpContext method for creating new Http.Context >>> 1
350,Replaces #6964 because most of the work was done in my previous pull requests regarding Java Forms already anyway. Deprecate form.reject() and form.discardErrors() >>> 1
351,# Status\r\n\r\nThis is ready to be reviewed.\r\n\r\n* [x] Documentation (Hightlights and how to use the components)\r\n* [x] Javadocs for all the components\r\n* [x] Java version for `play.api.BuiltInComponentsFromContext`\r\n* [x] Filters components like `play.api.NoHttpFiltersComponents` (maybe this should be done in a serie of smaller pull requests)\r\n* [x] `*Components` for subprojects\r\n\r\n## Purpose\r\n\r\nJava components APIs similar to what we have in Scala for Compile Time Injection. Java components for compile time injection >>> 1
352,Depends on https://github.com/playframework/playframework/pull/7153\r\nThen rebase and apply.\r\n\r\nPutting it into the validation queue though right away Update Akka to 2.5.0-RC2 >>> 1
353,"# Pull Request Checklist\r\n\r\n* [x] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [x] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [x] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [x] Have you added copyright headers to new files?\r\n* [x] Have you checked that both Scala and Java APIs are updated?\r\n* [x] Have you updated the documentation for both Scala and Java sections?\r\n* [x] Have you added tests for any changed functionality?\r\n\r\n# Helpful things\r\n\r\n## Purpose\r\n\r\nWhat does this PR do? Makes the documentation around running evolutions with compile time DI a little clearer. Describes what imports and dependencies are necessary to make it work.\r\n\r\n improve documentation for running evolutions using compile-time DI >>> 1"
354,Adding beta sourceclear support to master. Add sourceclear >>> 1
355,Addresses #7146 Keep form.data() backward compatible but introduce rawData() >>> 1
356,"Fixes #7174. Basically, this makes sure if we add new cookies, any existing cookies with the same name are removed from the list. Make Result#withCookies override existing cookies with the same name >>> 1"
357,It seems to make more sense for `AssetsMetadata` to contain and provide an `AssetsFinder` rather than extending it. This way we avoid type conflicts when using Macwire and it's harder to accidentally use one instead of the other. Use composition instead of inheritance for AssetsFinder/AssetsMetadata >>> 1
358,"# Pull Request Checklist\r\n\r\n* [x] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [x] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n\r\n# Helpful things\r\n\r\nGoing over some more code, I noticed an opportunity for EnumMap to be used.\r\n\r\nEnumMap documentation: https://docs.oracle.com/javase/8/docs/api/java/util/EnumMap.html\r\n\r\nEnumMap is basically a Map specifically implemented for when the Map's key is an Enum. It's faster and has a smaller memory footprint than a HashMap. Extremely compact and performant.\r\n\r\nI made this little bit of code with some HashMap vs EnumMap loops, for people who want to test it: https://ideone.com/y5mT3d\r\n\r\nI scanned the entirety of the playframework github project for use of Maps, this instance is the only one in the entire project that has an Enum for a key, far as I call tell.\r\n\r\nEDIT: XmlBodyParser unit test failed for Scala version 2.11.8, something else for 2.12.1. Not sure how it's related. Using EnumMap for mapping enums. >>> 1"
359,## Purpose\r\n\r\nAdd missing file headers and also a task to check them.\r\n\r\n## References\r\n\r\nhttps://github.com/sbt/sbt-header\r\n Add sbt-headers and missing file headers >>> 1
360,I've noticed that we don't have compile time dependency injection support for `ObjectMapper` (and `Json`) initialization. Add missing module for ObjectMapper >>> 1
361,Follow up for #7163 and #5722. Add missing asJava/asScala conversion >>> 1
362,Fixes Issue #7169\r\n\r\nSee details/discussion on the issue's page Upgrade logback dependency to fix 5 secs delays in unittests >>> 1
363,We upgraded to 1.2.3 in the 2.5.x branch. Should make master match\r\n Upgrade logback to 1.2.3 >>> 1
364,"It should be clear to people what filters are enabled on server startup in development, and this is not obvious from the logs.  \r\n\r\nThis PR ensures that filters are printed out to the log on the first URL request, using a webcommand hook.\r\n\r\nThis is one of a series of ""filter visibility"" PRs, see https://github.com/playframework/playframework/issues/7148 as well List enabled filters on startup >>> 1"
365,"# Pull Request Checklist\r\n\r\n* [ ] Have you read [How to write the perfect pull request](https://github.com/blog/1943-how-to-write-the-perfect-pull-request)?\r\n* [ ] Have you read through the [contributor guidelines](https://www.playframework.com/contributing)?\r\n* [x] Have you signed the [Lightbend CLA](https://www.lightbend.com/contribute/cla)?\r\n* [ ] Have you [squashed your commits]? (Optional, but makes merge messages nicer.)\r\n* [ ] Have you checked that both Scala and Java APIs are updated?\r\n\r\nThis is not final, as I need feedback before making it nice. Feel free to also fork this. \r\n\r\n# Helpful things\r\n\r\n## Purpose\r\n\r\nExposes Issue https://github.com/playframework/playframework/issues/7194 \r\n\r\n## Background Context\r\n\r\nI found the place where both Netty and Akka HTTP are tested. But I am not sure this is the right place for this.\r\n\r\nI'm just adding this as an automated test case for reference as my time is somewhat limited to go much further but yet I'd like this problem not to appear in the 2.6.0 release.\r\n\r\n## References\r\n\r\n#7194\r\n Empty body result failing testcase >>> 0"
366,"Background:\n\nAkka HTTP buffers request bodies as ""strict"" entities in certain\nsituations. These bodies are available immediately, and don't need\nstream materialization to handle them.\n\nPlay's action design requires that all request bodies be handled as\nstreams, since an action is defined to be a Sink that materializes to a\nfuture of the response, so the only way to pass a body into a Play\naction is to feed a Source of the body into that Sink. Even if that body\nis a 100 byte body that has already been buffered by Akka HTTP as a\nstrict entity, and even if actions handling is to simply fold all the\nbyte strings received together, Play's design still requires that this\nin memory body be wrapped in a Source.single, and then fed into a\nSink.fold(_ ++ _). No matter how much Akka streams improves the\nperformance of its materialization, this materialization will always be\nunnecessarily done and a burden on Play's performance.\n\nPlay has already added a fast path for when there is no request body,\nand the action is not interested in consuming a request body (such as\nfor GET requests), in the form of a DoneAccumulator, which both the\nNetty and Akka HTTP server implementations use by invoking this fast\npath when there is no body.\n\nFix:\n\nThis change adds a StrictAccumulator implementation of Accumulator, which\nallows an accumulator to specify a fast path that avoids using streams\n(and hence materialization) for when there is just one or zero elements to\nhandle. It deletes the DoneAccumulator, and replaces its usage with\nStrictAccumulator, since StrictAccumulator can achieve everything that\nthe DoneAccumulator can. Both of these classes are private\nimplementation details of accumulator, there is no public API that has\nbeen broken to make these changes, the factory methods for creating a\ndone accumulator still exist, just implemented using the struct\naccumulator.\n\nThe body parsers that buffer the full body have been modified to use the\nnew strict accumulator, and the Akka HTTP server implementation has been\nmodified to take advantage of the new run method that has been added to\nAccumulator which triggers the StrictAccumulator fast path.\n\nThe Netty server implementation hasn't been modified at all - there's no\npoint, since it does not yet support buffering small bodies in a single\nmessage, and can only be handled with streams.\n\nStill to be done:\n\n* Tests for the Java accumulator have yet to be written\n* The Java body parsers do not yet use this. [WIP] Akka HTTP performance improvement for strict requests >>> 1"
